model,property,algorithm,seed,simulations,time,robustness,falsified,input,control points,exploration ratio,budget,failed_explore_choice,failed_uniform_choice,failed_prefix_choice,failed_suffix_choice,failed_explore_forced,failed_uniform_forced,failed_prefix_forced,failed_suffix_forced,success_explore_choice,success_uniform_choice,success_prefix_choice,success_suffix_choice,success_explore_forced,success_uniform_forced,success_prefix_forced,success_suffix_forced
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,3532687395147219075,14.0,3.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,3,2,3,3,0,0,0,1,21,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4903690880809827983,16.0,3.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,2,1,9,2,0,0,1,0,24,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4328091836677958232,9.0,1.0,-11.220951438219288,yes,"[0.0 100.0 325.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,1,2,2,0,0,0,0,1,16,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,3389563150345631696,1.0,0.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-4358577111052427587,9.0,2.0,-0.745581197413415,yes,"[0.0 100.0 325.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,3,2,0,1,0,0,1,0,13,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-9021888612077251394,3.0,0.0,-17.980199361426514,yes,"[0.0 100.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,5972377096799076485,9.0,2.0,-0.5511690346261702,yes,"[0.0 100.0 0.0; 15.0 50.0 0.0; 30.0 50.0 0.0]","2 2 3 3 3 4",0.25,300,2,1,1,1,0,0,1,0,13,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,-7490784589438386237,14.0,3.0,-7.362017144361502,yes,"[0.0 100.0 0.0; 15.0 100.0 162.5; 30.0 100.0 162.5]","2 2 3 3 3 4",0.25,300,3,1,3,2,0,0,0,1,23,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,2311880173535838838,5.0,1.0,-4.809704969700675,yes,"[0.0 50.0 0.0; 15.0 100.0 0.0; 30.0 100.0 0.0]","2 2 3 3 3 4",0.25,300,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0
automatic_transmission,"□_[0.0, 30.0] (speed < 120.0)",adaptive,1956800407603769578,7.0,1.0,-6.1259413003567715,yes,"[0.0 100.0 0.0; 15.0 100.0 81.25; 25.0 50.0 325.0; 30.0 50.0 325.0]","2 2 3 3 3 4",0.25,300,1,1,1,1,0,0,1,0,11,0,0,0,2,0,0,0
