model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,13.0,76.04595264824263,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,13.0,70.54846574683116,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,79.95996966111251,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,69.54925902393472,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,13.0,69.38971789010284,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",2597640955835708158,100.0,13.0,87.4641954993968,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-3373523279198630529,100.0,13.0,87.06460006098439,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-945874369173475924,100.0,13.0,72.00301247578105,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 4.0] (speed < 100.0))","uniform random",-2027068886085455778,100.0,13.0,71.20444761240861,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",0,100.0,13.0,57.049287479093316,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",8930961420536443956,100.0,14.0,65.84022557766025,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5027564224191174885,100.0,14.0,58.83217339916521,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",-1702726027617546570,100.0,13.0,72.0906751624527,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",5704118054995460492,100.0,13.0,59.14061252740954,no,4,100
automatic_transmission,"(□_[0.0, 30.0] (RPM < 2500.0) ==> □_[0.0, 8.0] (speed < 100.0))","uniform random",7938329089922726318,100.0,13.0,58.1339778650479,no,4,100
