model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-6771948130860443991,213.0,148.0,-0.44889985612201144,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-6872183637580745469,30.0,20.0,-2.1138242881148983,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-4362937514027401353,14.0,9.0,-0.9475564475967673,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-645818057311197652,163.0,113.0,-0.4699451621525128,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-2589363629201395742,35.0,23.0,-1.1477310513914034,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-1292473327617944349,155.0,107.0,-0.3950074116904432,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,7708962365626450022,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-1985167797452687559,177.0,122.0,-0.7277838879532226,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-9181452172432867415,77.0,52.0,-0.7347912885751811,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,5136175437742153992,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,2461321076443974826,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,5393678625457699973,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,-5223836593555421482,87.0,59.0,-2.2985111922142494,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,4231336260356479292,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,80026624404206994,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
automatic_transmission,"(□_[0.0, 10.0] (speed < 80.0) || ◇_[0.0, 30.0] (4500.0 < RPM))",Breach,5629798281369249587,90.0,61.0,-2.1533493009024625,yes,4,300,cmaes,
