model,property,algorithm,seed,simulations,time,robustness,falsified,control points,budget,solver,exploration ratio
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-1292473327617944349,3.0,2.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,7708962365626450022,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-1985167797452687559,3.0,2.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-9181452172432867415,2.0,1.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,5136175437742153992,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,2461321076443974826,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,5393678625457699973,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-5223836593555421482,20.0,13.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,4231336260356479292,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,80026624404206994,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,5629798281369249587,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-7970476187495257102,32.0,21.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,8328412070939253235,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,8613213585075034408,13.0,9.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,7839281802022211816,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,605170570079111320,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-8912674914493871025,6.0,4.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,-5429469239583332266,31.0,21.0,-1.0,yes,4,300,cmaes,
automatic_transmission,"□_[0.0, 30.0] ((gear == 3.0) ==> (30.0 < speed))",Breach,7697740277460248409,13.0,8.0,-0.05781048828360014,yes,4,300,cmaes,
